"","BURA740102","CHAM830107","CHOP780202","CHOP780208","CHOP780209","CRAJ730102","GEIM800105","GEIM800106","GEIM800107","GEIM800110","ISOY800102","KANM800102","KANM800104","LEVM780102","LEVM780105","LIFS790101","LIFS790102","LIFS790103","MAXF760102","NAGK730102","OOBM850101","OOBM850104","PALJ810103","PALJ810104","PALJ810110","PALJ810112","PRAM900103","PTIO830102","QIAN880118","QIAN880119","QIAN880120","QIAN880121","QIAN880122","RACS820111","ROBB760105","ROBB760106","TANS770103"
"1",0.288,0,0.83,0.86,0.75,1,0.84,0.86,0.91,1.1,0.86,0.81,0.75,0.9,0.86,0.92,1,0.9,0.86,0.96,2.01,-2.49,0.81,0.9,0.89,0.98,0.9,1,-0.31,-0.1,-0.25,-0.26,0.05,0.93,-2.3,-2.7,0.79
"2",0.362,0,0.93,0.9,0.9,0.74,1.04,1.15,0.99,0.93,0.98,0.85,0.79,0.99,0.97,0.93,0.68,1.02,0.94,0.67,0.84,2.55,1.03,0.75,1.06,1.03,0.99,0.7,0.25,0.19,-0.02,-0.09,-0.11,1.52,0.4,0.4,1.087
"3",0.229,1,0.89,0.66,1.21,0.75,0.66,0.6,0.72,1.57,0.74,0.62,0.33,0.76,0.73,0.6,0.54,0.62,0.74,0.72,0.03,2.27,0.81,0.82,0.67,0.66,0.76,0.6,-0.53,-0.89,-0.77,-0.34,-0.4,0.92,-4.1,-4.2,0.832
"4",0.271,1,0.54,0.38,0.85,0.89,0.59,0.66,0.74,1.41,0.69,0.71,0.31,0.72,0.69,0.48,0.5,0.47,0.72,0.9,-2.05,8.86,0.71,0.75,0.71,0.74,0.72,0.5,-0.54,-0.89,-1.01,-0.55,-0.11,0.6,-4.4,-4.4,0.53
"5",0.533,0,1.19,0.87,1.11,0.99,1.27,0.91,1.12,1.05,1.39,1.17,1.46,0.74,1.04,1.16,0.91,1.24,1.17,1.13,1.98,-3.13,1.12,1.12,1.04,1.01,0.74,1.9,-0.06,0.13,0.13,0.47,0.36,1.08,4.4,3.7,1.268
"6",0.327,0,1.1,1.65,0.65,0.87,1.02,1.11,0.9,0.81,0.89,0.98,0.75,0.8,1,0.95,0.28,1.18,0.89,1.18,1.02,1.79,1.03,0.95,1.06,0.63,0.8,1,0.07,-0.04,-0.12,-0.33,-0.67,0.94,1.2,0.8,1.038
"7",0.262,1,0.37,0.35,0.55,0.37,0.57,0.37,0.41,1.4,0.66,0.53,0.46,0.75,0.66,0.61,0.59,0.62,0.62,0.33,0.93,4.04,0.59,0.44,0.72,0.59,0.75,0.7,-0.52,-0.34,-0.62,-0.75,-0.35,0.73,-5,-8.1,0.643
"8",0.312,1,0.75,0.63,0.74,0.56,0.94,0.86,0.91,1.3,0.7,0.88,0.83,0.92,0.89,0.61,0.79,0.56,0.97,0.9,0.12,-0.56,0.94,0.83,0.87,0.9,0.92,0.3,0.37,-0.45,-0.72,-0.56,0.14,0.78,-4.2,-3.9,0.725
"9",0.2,0,0.87,0.54,0.9,0.36,0.81,1.07,1.01,0.85,1.06,0.92,0.83,1.08,0.85,0.93,0.38,1.12,1.06,0.87,-0.14,4.22,0.85,0.86,1.04,1.17,1.08,0.8,-0.32,-0.34,-0.16,-0.04,0.02,1.08,-2.5,-3,0.864
"10",0.411,0,1.6,1.94,1.35,1.75,1.29,1.17,1.29,0.67,1.31,1.48,1.87,1.45,1.47,1.81,2.6,1.54,1.24,1.54,3.7,-10.87,1.47,1.59,1.14,1.38,1.45,4,0.57,0.95,1.1,0.94,0.47,1.74,6.7,7.7,1.361
"11",0.4,0,1.3,1.3,1.27,1.53,1.1,1.28,1.23,0.52,1.01,1.24,1.56,1.02,1.04,1.3,1.42,1.26,0.98,1.26,2.73,-7.16,1.03,1.24,1.02,1.05,1.02,2,0.09,0.32,0.23,0.25,0.32,1.03,2.3,3.7,1.111
"12",0.265,0,0.74,1,0.74,1.18,0.86,1.01,0.86,0.94,0.77,0.77,0.66,0.77,0.77,0.7,0.59,0.74,0.79,0.81,2.55,-9.97,0.77,0.75,1,0.83,0.77,0.7,-0.29,-0.46,-0.59,-0.55,-0.51,1,-3.3,-2.9,0.735
"13",0.375,0,1.05,1.43,0.95,1.4,0.88,1.15,0.96,0.69,1.06,1.05,0.86,0.97,0.93,1.19,1.49,1.09,1.08,1.29,1.75,-4.96,0.96,0.94,1.41,0.82,0.97,1.9,0.29,0.43,0.32,-0.05,-0.1,1.31,2.3,3.7,1.092
"14",0.318,0,1.38,1.5,1.5,1.26,1.15,1.34,1.26,0.6,1.16,1.2,1.37,1.32,1.21,1.25,1.3,1.23,1.16,1.37,2.68,-6.64,1.13,1.41,1.32,1.23,1.32,3.1,0.24,0.36,0.48,0.2,0.2,1.51,2.6,3,1.052
"15",0.34,0,0.55,0.66,0.4,0.36,0.8,0.61,0.65,1.77,1.16,0.61,0.52,0.64,0.68,0.4,0.35,0.42,1.22,0.75,0.41,5.19,0.75,0.46,0.69,0.73,0.64,0.2,-0.31,-0.91,-1.24,-1.28,-0.79,1.37,-1.8,-6.6,1.249
"16",0.354,0,0.75,0.63,0.79,0.65,1.05,0.91,0.93,1.13,1.09,0.92,0.82,0.95,1.02,0.82,0.7,0.87,1.04,0.77,1.47,-1.6,1.02,0.7,0.86,0.98,0.95,0.9,0.11,-0.12,-0.31,-0.28,0.03,0.97,-1.7,-2.4,1.093
"17",0.388,0,1.19,1.17,0.75,1.15,1.2,1.14,1.05,0.88,1.24,1.18,1.36,1.21,1.27,1.12,0.59,1.3,1.18,1.23,2.39,-4.75,1.19,1.2,1.15,1.2,1.21,1.7,0.03,0.49,0.17,0.08,-0.15,1.38,1.3,1.7,1.214
"18",0.231,0,1.37,1.49,1.19,0.84,1.15,1.13,1.15,0.62,1.17,1.18,0.79,1.14,1.26,1.54,0.89,1.75,1.07,1.13,2.49,-17.84,1.24,1.28,1.06,1.26,1.14,2.2,0.15,0.34,0.45,0.22,0.09,1.12,-1,0.3,1.114
"19",0.429,0,1.47,1.07,1.96,1.41,1.39,1.37,1.21,0.41,1.28,1.23,1.08,1.25,1.31,1.53,1.08,1.68,1.25,1.07,2.23,9.25,1.35,1.45,1.35,1.23,1.25,2.8,0.29,0.42,0.77,0.53,0.34,1.65,4,3.3,1.34
"20",0.495,0,1.7,1.69,1.79,1.61,1.56,1.31,1.58,0.58,1.4,1.66,2,1.49,1.43,1.81,2.63,1.53,1.33,1.41,3.5,-3.97,1.44,1.73,1.66,1.62,1.49,4,0.48,0.76,0.69,0.67,0.58,1.7,6.8,7.1,1.428
